ticker,file,path,volchg,chg,dir
aci,aci,aci,0,0,0
aal,aal.us,us\nasdaq stocks\1\,0,0,0
aaoi,aaoi.us,us\nasdaq stocks\1\,0,0,0
aaon,aaon.us,us\nasdaq stocks\1\,0,0,0
aapc,aapc.us,us\nasdaq stocks\1\,0,0,0
aapl,aapl.us,us\nasdaq stocks\1\,0,0,0
aavl,aavl.us,us\nasdaq stocks\1\,0,0,0
aaww,aaww.us,us\nasdaq stocks\1\,0,0,0
abac,abac.us,us\nasdaq stocks\1\,0,0,0
abax,abax.us,us\nasdaq stocks\1\,0,0,0
abcb,abcb.us,us\nasdaq stocks\1\,0,0,0
abcd,abcd.us,us\nasdaq stocks\1\,0,0,0
abco,abco.us,us\nasdaq stocks\1\,0,0,0
abcw,abcw.us,us\nasdaq stocks\1\,0,0,0
abdc,abdc.us,us\nasdaq stocks\1\,0,0,0
abgb,abgb.us,us\nasdaq stocks\1\,0,0,0
abio,abio.us,us\nasdaq stocks\1\,0,0,0
abmd,abmd.us,us\nasdaq stocks\1\,0,0,0
abtl,abtl.us,us\nasdaq stocks\1\,0,0,0
abus,abus.us,us\nasdaq stocks\1\,0,0,0
aby,aby.us,us\nasdaq stocks\1\,0,0,0
acad,acad.us,us\nasdaq stocks\1\,0,0,0
acas,acas.us,us\nasdaq stocks\1\,0,0,0
acat,acat.us,us\nasdaq stocks\1\,0,0,0
acet,acet.us,us\nasdaq stocks\1\,0,0,0
acfc,acfc.us,us\nasdaq stocks\1\,0,0,0
acfn,acfn.us,us\nasdaq stocks\1\,0,0,0
acgl,acgl.us,us\nasdaq stocks\1\,0,0,0
achc,achc.us,us\nasdaq stocks\1\,0,0,0
achn,achn.us,us\nasdaq stocks\1\,0,0,0
aciw,aciw.us,us\nasdaq stocks\1\,0,0,0
acls,acls.us,us\nasdaq stocks\1\,0,0,0
acnb,acnb.us,us\nasdaq stocks\1\,0,0,0
acor,acor.us,us\nasdaq stocks\1\,0,0,0
acpw,acpw.us,us\nasdaq stocks\1\,0,0,0
acrx,acrx.us,us\nasdaq stocks\1\,0,0,0
acsf,acsf.us,us\nasdaq stocks\1\,0,0,0
acst,acst.us,us\nasdaq stocks\1\,0,0,0
acta,acta.us,us\nasdaq stocks\1\,0,0,0
actg,actg.us,us\nasdaq stocks\1\,0,0,0
acts,acts.us,us\nasdaq stocks\1\,0,0,0
acur,acur.us,us\nasdaq stocks\1\,0,0,0
acxm,acxm.us,us\nasdaq stocks\1\,0,0,0
adap,adap.us,us\nasdaq stocks\1\,0,0,0
adat,adat.us,us\nasdaq stocks\1\,0,0,0
adbe,adbe.us,us\nasdaq stocks\1\,0,0,0
adep,adep.us,us\nasdaq stocks\1\,0,0,0
adhd,adhd.us,us\nasdaq stocks\1\,0,0,0
adi,adi.us,us\nasdaq stocks\1\,0,0,0
adma,adma.us,us\nasdaq stocks\1\,0,0,0
admp,admp.us,us\nasdaq stocks\1\,0,0,0
adms,adms.us,us\nasdaq stocks\1\,0,0,0
adp,adp.us,us\nasdaq stocks\1\,0,0,0
adro,adro.us,us\nasdaq stocks\1\,0,0,0
adsk,adsk.us,us\nasdaq stocks\1\,0,0,0
adtn,adtn.us,us\nasdaq stocks\1\,0,0,0
adus,adus.us,us\nasdaq stocks\1\,0,0,0
adxs,adxs.us,us\nasdaq stocks\1\,0,0,0
aegn,aegn.us,us\nasdaq stocks\1\,0,0,0
aegr,aegr.us,us\nasdaq stocks\1\,0,0,0
aehr,aehr.us,us\nasdaq stocks\1\,0,0,0
aeis,aeis.us,us\nasdaq stocks\1\,0,0,0
aemd,aemd.us,us\nasdaq stocks\1\,0,0,0
aepi,aepi.us,us\nasdaq stocks\1\,0,0,0
aeri,aeri.us,us\nasdaq stocks\1\,0,0,0
aeti,aeti.us,us\nasdaq stocks\1\,0,0,0
aey,aey.us,us\nasdaq stocks\1\,0,0,0
aezs,aezs.us,us\nasdaq stocks\1\,0,0,0
afam,afam.us,us\nasdaq stocks\1\,0,0,0
afcb,afcb.us,us\nasdaq stocks\1\,0,0,0
affx,affx.us,us\nasdaq stocks\1\,0,0,0
afh,afh.us,us\nasdaq stocks\1\,0,0,0
afmd,afmd.us,us\nasdaq stocks\1\,0,0,0
afop,afop.us,us\nasdaq stocks\1\,0,0,0
afsi,afsi.us,us\nasdaq stocks\1\,0,0,0
agen,agen.us,us\nasdaq stocks\1\,0,0,0
agfs,agfs.us,us\nasdaq stocks\1\,0,0,0
agii,agii.us,us\nasdaq stocks\1\,0,0,0
agio,agio.us,us\nasdaq stocks\1\,0,0,0
agnc,agnc.us,us\nasdaq stocks\1\,0,0,0
agrx,agrx.us,us\nasdaq stocks\1\,0,0,0
agtc,agtc.us,us\nasdaq stocks\1\,0,0,0
agys,agys.us,us\nasdaq stocks\1\,0,0,0
ahgp,ahgp.us,us\nasdaq stocks\1\,0,0,0
ahpi,ahpi.us,us\nasdaq stocks\1\,0,0,0
aimc,aimc.us,us\nasdaq stocks\1\,0,0,0
aimt,aimt.us,us\nasdaq stocks\1\,0,0,0
ainv,ainv.us,us\nasdaq stocks\1\,0,0,0
aiq,aiq.us,us\nasdaq stocks\1\,0,0,0
airm,airm.us,us\nasdaq stocks\1\,0,0,0
airt,airt.us,us\nasdaq stocks\1\,0,0,0
aixg,aixg.us,us\nasdaq stocks\1\,0,0,0
akam,akam.us,us\nasdaq stocks\1\,0,0,0
akao,akao.us,us\nasdaq stocks\1\,0,0,0
akba,akba.us,us\nasdaq stocks\1\,0,0,0
aker,aker.us,us\nasdaq stocks\1\,0,0,0
akrx,akrx.us,us\nasdaq stocks\1\,0,0,0
alco,alco.us,us\nasdaq stocks\1\,0,0,0
aldr,aldr.us,us\nasdaq stocks\1\,0,0,0
aldx,aldx.us,us\nasdaq stocks\1\,0,0,0
algn,algn.us,us\nasdaq stocks\1\,0,0,0
algt,algt.us,us\nasdaq stocks\1\,0,0,0
alim,alim.us,us\nasdaq stocks\1\,0,0,0
alks,alks.us,us\nasdaq stocks\1\,0,0,0
allb,allb.us,us\nasdaq stocks\1\,0,0,0
allt,allt.us,us\nasdaq stocks\1\,0,0,0
alny,alny.us,us\nasdaq stocks\1\,0,0,0
alog,alog.us,us\nasdaq stocks\1\,0,0,0
alot,alot.us,us\nasdaq stocks\1\,0,0,0
alqa,alqa.us,us\nasdaq stocks\1\,0,0,0
alrm,alrm.us,us\nasdaq stocks\1\,0,0,0
alsk,alsk.us,us\nasdaq stocks\1\,0,0,0
altr,altr.us,us\nasdaq stocks\1\,0,0,0
alty,alty.us,us\nasdaq stocks\1\,0,0,0
alxa,alxa.us,us\nasdaq stocks\1\,0,0,0
alxn,alxn.us,us\nasdaq stocks\1\,0,0,0
amag,amag.us,us\nasdaq stocks\1\,0,0,0
amat,amat.us,us\nasdaq stocks\1\,0,0,0
amba,amba.us,us\nasdaq stocks\1\,0,0,0
ambc,ambc.us,us\nasdaq stocks\1\,0,0,0
amcc,amcc.us,us\nasdaq stocks\1\,0,0,0
amcf,amcf.us,us\nasdaq stocks\1\,0,0,0
amcn,amcn.us,us\nasdaq stocks\1\,0,0,0
amcx,amcx.us,us\nasdaq stocks\1\,0,0,0
amd,amd.us,us\nasdaq stocks\1\,0,0,0
amda,amda.us,us\nasdaq stocks\1\,0,0,0
amed,amed.us,us\nasdaq stocks\1\,0,0,0
amgn,amgn.us,us\nasdaq stocks\1\,0,0,0
amic,amic.us,us\nasdaq stocks\1\,0,0,0
amkr,amkr.us,us\nasdaq stocks\1\,0,0,0
amnb,amnb.us,us\nasdaq stocks\1\,0,0,0
amot,amot.us,us\nasdaq stocks\1\,0,0,0
amov,amov.us,us\nasdaq stocks\1\,0,0,0
amph,amph.us,us\nasdaq stocks\1\,0,0,0
amrb,amrb.us,us\nasdaq stocks\1\,0,0,0
amri,amri.us,us\nasdaq stocks\1\,0,0,0
amrk,amrk.us,us\nasdaq stocks\1\,0,0,0
amrn,amrn.us,us\nasdaq stocks\1\,0,0,0
amrs,amrs.us,us\nasdaq stocks\1\,0,0,0
amsc,amsc.us,us\nasdaq stocks\1\,0,0,0
amsf,amsf.us,us\nasdaq stocks\1\,0,0,0
amsg,amsg.us,us\nasdaq stocks\1\,0,0,0
amtx,amtx.us,us\nasdaq stocks\1\,0,0,0
amwd,amwd.us,us\nasdaq stocks\1\,0,0,0
amzn,amzn.us,us\nasdaq stocks\1\,0,0,0
anac,anac.us,us\nasdaq stocks\1\,0,0,0
anad,anad.us,us\nasdaq stocks\1\,0,0,0
anat,anat.us,us\nasdaq stocks\1\,0,0,0
ancb,ancb.us,us\nasdaq stocks\1\,0,0,0
anci,anci.us,us\nasdaq stocks\1\,0,0,0
ancx,ancx.us,us\nasdaq stocks\1\,0,0,0
ande,ande.us,us\nasdaq stocks\1\,0,0,0
angi,angi.us,us\nasdaq stocks\1\,0,0,0
ango,ango.us,us\nasdaq stocks\1\,0,0,0
anik,anik.us,us\nasdaq stocks\1\,0,0,0
anip,anip.us,us\nasdaq stocks\1\,0,0,0
anss,anss.us,us\nasdaq stocks\1\,0,0,0
anth,anth.us,us\nasdaq stocks\1\,0,0,0
any,any.us,us\nasdaq stocks\1\,0,0,0
aosl,aosl.us,us\nasdaq stocks\1\,0,0,0
apdn,apdn.us,us\nasdaq stocks\1\,0,0,0
apei,apei.us,us\nasdaq stocks\1\,0,0,0
apic,apic.us,us\nasdaq stocks\1\,0,0,0
apog,apog.us,us\nasdaq stocks\1\,0,0,0
apol,apol.us,us\nasdaq stocks\1\,0,0,0
appf,appf.us,us\nasdaq stocks\1\,0,0,0
apps,apps.us,us\nasdaq stocks\1\,0,0,0
appy,appy.us,us\nasdaq stocks\1\,0,0,0
apri,apri.us,us\nasdaq stocks\1\,0,0,0
apto,apto.us,us\nasdaq stocks\1\,0,0,0
apwc,apwc.us,us\nasdaq stocks\1\,0,0,0
aqms,aqms.us,us\nasdaq stocks\1\,0,0,0
aqxp,aqxp.us,us\nasdaq stocks\1\,0,0,0
aray,aray.us,us\nasdaq stocks\1\,0,0,0
arcb,arcb.us,us\nasdaq stocks\1\,0,0,0
arcc,arcc.us,us\nasdaq stocks\1\,0,0,0
arci,arci.us,us\nasdaq stocks\1\,0,0,0
arcw,arcw.us,us\nasdaq stocks\1\,0,0,0
